FeatureIndex	FileName	MSLevel	IsDecoy	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
248	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3258.197812	3260.202175	2	68.8328	69.669	50.1739	69.669	58119.6	31726.3	1.45804e+06	3	4	2	0.856792	0.421964348222353	43553.8;14565.8	0;9448.67;18355.2;13271.2;13251;0;3793.58
249	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3057.763833	3059.631693	2	67.2898	67.611	19.269	67.2898	43677.9	31658	420815	2	5	4	0.873013	0.497025552618217	7200.43;8146.96;20352.5;7978.01	0;14098.7;8634.01;12612.6;8332.63
250	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4141.599296	4144.219316	3	69.2184	70.1835	57.9063	69.2184	66251.9	31559.8	1.23621e+06	4	5	2	0.878977	0.397638541688551	5957.28;60294.6	0;4273.52;14834;23290.7;14378.6;5722.49;3752.53
251	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4937.666476	4940.757615	2	67.0331	68.2534	73.2127	68.2534	52657.3	31387.1	1.92759e+06	4	6	3	0.868245	0.547864089025926	6618.96;16818.6;29219.8	3802.33;0;9438.19;15577.6;18315.9;4781.06;4544.57
252	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5486.534040	5489.917682	3	68.3823	70.2479	111.933	69.669	77842.8	31159	3.02724e+06	6	8	3	0.857421	0.522475605382179	14775.4;52549.8;10517.6	3378.86;0;6110.52;23870.2;22089.5;18275;4577.26;0;0;0;2920.39
253	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2574.257157	2575.858973	2	65.366	66.3899	61.4329	65.366	54788.3	30935.3	1.6829e+06	3	4	2	0.873227	0.560887124419383	30935.3;23852.9	0;18661.8;17881.2;11392;4463.62;0;0;2389.68
254	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2895.183835	2896.965657	2	70.9555	71.4699	30.8654	71.4699	53829.1	30365	830727	3	3	1	0.863032	0.593258685889674	53829.1	0;17569.5;17263.4;18996.2
255	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3810.435333	3812.746170	2	70.9555	71.4699	30.8654	70.9555	42392.1	30344.3	654224	5	6	2	0.876704	0.574593469628681	30344.3;12047.8	0;5713.14;9498.1;10566.5;9767.95;6846.42
256	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2875.360583	2877.128461	2	66.3256	67.1615	50.1503	67.1615	46403.6	29988.9	1.16358e+06	3	4	2	0.856245	0.71684037201046	29988.9;16414.6	0;11016.1;17023.2;7585.79;3676.44;7102.07
257	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4076.314837	4078.886143	3	66.7114	68.2534	92.5144	67.1615	73057.9	29879.3	2.48177e+06	3	6	4	0.852189	0.365966100385122	8516.13;21363.2;32564.7;10613.8	0;2950.37;18842.8;19424.7;19312.2;2781.39;3653.56;2911.05;0;3181.86
