Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
70	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	2079.071704	2077.846901	81510.9	2	2	2	0.87802	0.87802	1	0.634048	0.634048	0.704139	2	1039.931519	1040.403320	0.534789	0.534789	0
71	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	2105.307705	2104.000389	217365	2	2	3	0.927873	0.927873	1	0.565889	0.565889	0.81122	2	1053.006470	1054.010132	0.761521	0.761521	0.833991
72	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	2107.099661	2105.862103	84098.6	2	2	2	0.875098	0.875098	1	0.76641	0.76641	0.636923	2	1053.937500	1054.412231	0.526189	0.526189	0
73	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	2107.099661	2105.862103	84098.6	2	2	2	0.875098	0.875098	1	0.76641	0.76641	0.636923	2	1053.937500	1054.412231	0.526189	0.526189	0
74	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	2157.523073	2156.181827	58661.5	2	2	2	0.867114	0.867114	1	0.473981	0.473981	1.01787	2	1079.099365	1079.598267	0.458329	0.458329	0.933236
75	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	2600.065159	2598.533569	143905	3	3	3	0.884333	0.884333	1	1.33973	1.33973	1.89951	3	867.185791	867.814453	0.530092	0.530092	0
76	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	2936.929465	2935.134139	127966	3	3	3	0.902004	0.902004	1	0.949156	0.949156	1.0798	3	979.384338	980.054871	0.647587	0.647587	0.857546
77	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	2985.249488	2983.428981	342750	3	3	4	0.857154	0.857154	1	0.27104	0.27104	0.811517	3	995.484009	997.152588	0.409338	0.409338	0.933236
78	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	3088.316782	3086.435554	157986	3	3	3	0.866403	0.866403	1	0.635159	0.635159	1.38241	3	1029.818604	1030.486328	0.442900	0.442900	0.933236
79	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	3146.120545	3144.177195	114180	3	3	3	0.877013	0.877013	1	0.324995	0.324995	2.21006	3	1049.064819	1049.737183	0.450807	0.450807	0.933236
