Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
88	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	6441.051197	6437.099872	261926	6	6	5	0.856134	0.856134	1	2.84423	2.84423	2.97625	6	1074.192383	1075.529175	0.359590	0.359590
89	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	8035.689420	8030.697883	175985	7	7	4	0.869671	0.869671	1	1.54212	4.05607	3.53271	7	1148.677734	1149.113281	0.371848	0.371848
90	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	8073.447504	8068.430502	461253	8	8	7	0.866037	0.866037	1	2.81691	2.81691	2.80514	8	1009.818420	1010.811279	0.416131	0.416131
91	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	8410.688700	8405.482105	207541	8	8	5	0.903593	0.903593	1	1.01346	1.01346	2.5056	8	1052.065063	1052.567261	0.595440	0.595440
92	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	26	65.086594	61	8953.815228	8948.277131	552939	7	7	7	0.866745	0.866745	1	20.8257	20.8257	0.817447	7	1279.333374	1280.478760	0.591109	0.998833
93	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	46	65.086594	61	9051.893092	9046.301431	1.42812e+06	7	9	26	0.899346	0.79976	1	9.96231	13.3841	2.51955	8	1131.919434	1133.425903	0.608883	0.992098
94	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	50	65.086594	61	9052.885722	9047.294062	1.13036e+06	7	8	20	0.851253	0.795903	1	24.4928	13.166	2.46445	8	1131.919434	1133.543945	0.433155	0.992532
95	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	25	65.086594	61	9066.916968	9061.325308	1.80983e+06	7	8	22	0.927279	0.82458	1	26.9837	11.5966	2.56922	7	1295.630127	1297.055176	0.781472	0.989186
96	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	9080.942853	9075.327999	1.59283e+06	7	9	25	0.93155	0.900162	1	6.88076	16.9285	2.3645	8	1135.552368	1136.920288	0.759073	0.759073
97	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	61	65.086594	61	9081.964080	9076.349226	386312	7	7	7	0.867641	0.867641	1	7.82872	10.0961	1.83985	7	1297.918701	1299.486938	0.503093	0.799551
